caseid,race,vote2016,faminc,fips,wait,land_area,county_name,state,county_pop,income_county,region
412003571,1,3,97,1001,3,594.44373,"Autauga County","Alabama",55200,41.618,"S"
420159997,1,4,97,1001,1,594.44373,"Autauga County","Alabama",55200,41.618,"S"
410765901,1,1,9,1001,2,594.44373,"Autauga County","Alabama",55200,41.618,"S"
417353007,1,1,6,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412999988,1,1,6,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
417619231,1,2,12,1003,3,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
413804835,2,2,2,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
413608699,1,1,6,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
413627583,1,1,12,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
420227053,1,1,6,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412323774,1,1,7,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
418248682,1,2,11,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412980663,6,1,4,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412330884,1,1,10,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412708758,1,1,3,1003,3,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
413413480,1,3,11,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412275535,1,1,97,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412518268,1,3,8,1003,3,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412903458,1,1,4,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
414322588,1,1,2,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412336201,1,1,7,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412391771,1,1,97,1003,3,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412947930,1,2,6,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412323348,1,1,4,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
415079461,1,2,4,1003,3,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
410763309,1,1,4,1003,1,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
414243999,1,1,2,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412398482,1,1,9,1003,4,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
412446980,1,1,6,1003,2,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
418852627,1,2,4,1003,3,1589.7937,"Baldwin County","Alabama",208107,45.596,"S"
