State,CD,Winner,Fresh,Party,Dem,Rep,Other
Alabama,District 1,"Carl, Jerry",1,R,116949,211825,301
Alabama,District 2,"Moore, Barry",1,R,105286,197996,287
Alabama,District 3,"Rogers, Mike D.",0,R,104595,217384,255
Alabama,District 4,"Aderholt, Robert",0,R,56237,261553,293
Alabama,District 5,"Brooks, Mo",0,R,0,253094,11066
Alabama,District 6,"Palmer, Gary",0,R,0,274160,8101
Alabama,District 7,"Sewell, Terri A.",0,D,225742,0,6589
Alaska,At Large,"Young, Don",0,R,159856,192126,1183
Arizona,District 1,"O'Halleran, Tom",0,D,188469,176709,0
Arizona,District 2,"Kirkpatrick, Ann",0,D,209945,170975,0
Arizona,District 3,"Grijalva, Raúl M.",0,D,174243,95594,0
Arizona,District 4,"Gosar, Paul",0,R,120484,278002,0
Arizona,District 5,"Biggs, Andy",0,R,183171,262414,0
Arizona,District 6,"Schweikert, David",0,R,199644,217783,0
Arizona,District 7,"Gallego, Ruben",0,D,165452,50226,0
Arizona,District 8,"Lesko, Debbie",0,R,170816,254633,0
Arizona,District 9,"Stanton, Greg",0,D,217094,135180,0
Arkansas,District 1,"Crawford, Rick",0,R,0,237596,0
Arkansas,District 2,"Hill, French",0,R,148410,184093,0
Arkansas,District 3,"Womack, Steve",0,R,106325,214960,12977
Arkansas,District 4,"Westerman, Bruce",0,R,75750,191617,7668
California,District 1,"LaMalfa, Doug",0,R,154073,204190,0
California,District 2,"Huffman, Jared",0,D,294435,94320,0
California,District 3,"Garamendi, John",0,D,176043,145945,0
California,District 4,"McClintock, Tom",0,R,194731,247291,0
California,District 5,"Thompson, Mike",0,D,271233,85227,0
California,District 6,"Matsui, Doris",0,D,229648,83466,0
California,District 7,"Bera, Ami",0,D,217416,166549,0
California,District 8,"Obernolte, Jay",1,R,124400,158711,0
California,District 9,"McNerney, Jerry",0,D,174252,128358,0
California,District 10,"Harder, Josh",0,D,166865,135629,0
California,District 11,"DeSaulnier, Mark",0,D,271063,100293,0
California,District 12,"Pelosi, Nancy",0,D,281776,0,81174
California,District 13,"Lee, Barbara",0,D,327863,34955,0
California,District 14,"Speier, Jackie",0,D,278300,72705,0
California,District 15,"Swalwell, Eric",0,D,242991,99710,0
California,District 16,"Costa, Jim",0,D,128690,88039,0
California,District 17,"Khanna, Ro",0,D,212137,85199,0
California,District 18,"Eshoo, Anna G.",0,D,217388,0,126751
California,District 19,"Lofgren, Zoe",0,D,224385,88642,0
California,District 20,"Panetta, Jimmy",0,D,236896,71658,0
California,District 21,"Valadao, David",1,R,84406,85928,0
California,District 22,"Nunes, Devin",0,R,144251,170888,0
California,District 23,"McCarthy, Kevin",0,R,115896,190222,0
California,District 24,"Carbajal, Salud",0,D,212564,149781,0
California,District 25,"Garcia, Mike",0,R,169305,169638,0
California,District 26,"Brownley, Julia",0,D,208856,135877,0
California,District 27,"Chu, Judy",0,D,221411,95907,0
California,District 28,"Schiff, Adam B.",0,D,244271,91928,0
California,District 29,"Cardenas, Tony",0,D,119420,0,91524
California,District 30,"Sherman, Brad",0,D,240038,105426,0
California,District 31,"Aguilar, Pete",0,D,175315,110735,0
California,District 32,"Napolitano, Grace Flores",0,D,172942,86818,0
California,District 33,"Lieu, Ted W.",0,D,257094,123334,0
California,District 34,"Gomez, Jimmy",0,D,108792,0,96554
California,District 35,"Torres, Norma",0,D,169405,74941,0
