"","stopid","agency","purpose","race","gender","searchoccur","year","officerid","age","month","day","InFigure3","Berry"
"86",1424847,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19721506,31,1,5,TRUE,5.2
"100",1424904,"Raleigh Police Department","Investigation","White","Male",1,2002,19766501,26,1,7,TRUE,6.1
"102",1424916,"Raleigh Police Department","Investigation","Black","Male",1,2002,19776330,24,1,7,TRUE,16.5
"249",1425389,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19722042,24,1,10,TRUE,1.2
"307",1425593,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19670128,36,1,10,TRUE,9.3
"308",1425596,"Raleigh Police Department","Investigation","White","Male",1,2002,19703197,21,1,11,TRUE,17.4
"333",1425670,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19735614,35,1,11,FALSE,11.8
"357",1425728,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19741754,37,1,11,TRUE,9.3
"377",1425785,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19776330,19,1,11,TRUE,18.8
"393",1425861,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19729159,29,1,12,FALSE,7.3
"403",1425899,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19684688,24,1,12,TRUE,11.8
"406",1425910,"Raleigh Police Department","Other Vehicle","White","Male",1,2002,19776330,20,1,13,TRUE,13
"420",1425941,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19729159,35,1,13,FALSE,16.3
"432",1426002,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19778104,27,1,14,TRUE,10.1
"437",1426017,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19710561,29,1,14,FALSE,5.8
"545",1426364,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19660126,35,1,16,FALSE,13.8
"615",1426608,"Raleigh Police Department","Speed Limit","White","Male",1,2002,19670128,19,1,19,TRUE,4.6
"622",1426628,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19730396,18,1,19,TRUE,10
"627",1426648,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19684688,28,1,19,TRUE,10.3
"674",1426799,"Raleigh Police Department","Vehicle Equipment","Black","Male",1,2002,19722042,33,1,20,TRUE,23.9
"677",1426805,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19730396,18,1,21,TRUE,13.9
"710",1426919,"Raleigh Police Department","Vehicle Equipment","White","Male",1,2002,19760015,44,1,21,FALSE,15.8
"733",1426966,"Raleigh Police Department","Vehicle Regulatory","White","Female",1,2002,19721506,26,1,22,TRUE,4.1
"737",1426973,"Raleigh Police Department","Investigation","Black","Male",1,2002,19745114,22,1,22,FALSE,16.6
"823",1427234,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19734155,29,1,24,TRUE,21.2
"833",1427256,"Raleigh Police Department","Driving Impaired","Black","Male",1,2002,19766501,22,1,24,TRUE,13.4
"894",1427359,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19706218,29,1,25,FALSE,0.8
"898",1427364,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19721506,24,1,25,TRUE,3.1
"899",1427365,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19731439,49,1,25,TRUE,0
"918",1427464,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19731935,22,1,26,TRUE,9
"935",1427567,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19670128,25,1,26,TRUE,6.2
"953",1427650,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19743851,27,1,27,FALSE,11
"955",1427655,"Raleigh Police Department","Other Vehicle","Black","Male",1,2002,19703197,36,1,27,TRUE,24.4
"1020",1427870,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19776330,21,1,29,TRUE,17.2
"1074",1428023,"Raleigh Police Department","Investigation","White","Male",1,2002,19766282,25,1,29,TRUE,9.7
"1078",1428031,"Raleigh Police Department","Vehicle Regulatory","White","Male",1,2002,19766282,27,1,30,TRUE,24.2
"1142",1428185,"Raleigh Police Department","Investigation","Black","Male",1,2002,19746415,19,1,30,TRUE,21.9
"1175",1495645,"Raleigh Police Department","Vehicle Regulatory","Black","Male",1,2002,19746415,43,2,1,TRUE,15.6
"1186",1495703,"Raleigh Police Department","Stop Light/Sign","Black","Male",1,2002,19729159,29,2,1,FALSE,13.5
"1200",1495756,"Raleigh Police Department","Stop Light/Sign","White","Female",1,2002,19692424,26,2,1,TRUE,7
"1201",1495757,"Raleigh Police Department","Driving Impaired","White","Male",1,2002,19660950,20,2,1,FALSE,21.2
"1210",1495783,"Raleigh Police Department","Vehicle Regulatory","Black","Female",1,2002,19721506,21,2,2,TRUE,5.2
"1241",1495908,"Raleigh Police Department","Driving Impaired","Black","Male",1,2002,19734155,57,2,3,TRUE,12.3
"1347",1496224,"Raleigh Police Department","Safe Movement","White","Male",1,2002,19684688,18,2,5,TRUE,10.7
"1361",1496272,"Raleigh Police Department","Speed Limit","Black","Male",1,2002,19670128,22,2,6,TRUE,20.3
